Signal,Frequency_1,Frequency_2,Frequency_3,Frequency_4,Frequency_5
"[ -6.17011211 224.93807162 154.58670343 ... 212.12869594 162.89155097
  48.15738783]",4466.9629373189155,3759.609102950867,4814.0533022797235,852.2037556616939,792.3574221476899
"[  0.887781   159.1979829  216.4774816  ...  37.42520943  74.65930531
 142.40517532]",3696.272280906189,2117.3622917186635,348.2689528818054,2833.802110924968,1125.0950534540825
"[ 4.18526033 50.84224368 96.15525266 ... 56.57753994 75.29308655
 84.00149382]",1019.9093167954114,418.17602416996687,374.1403354230779,1057.6406408719254,194.05503973426664
"[   1.56374052  145.8551149   163.31615085 ...   75.44167243    6.08247516
 -110.67368284]",452.1711354567079,1316.762955874599,2053.9389432766,3203.7470989888484,4548.864327373827
"[   1.76547201  144.5849566   245.17103591 ...   49.87817704  -52.83646202
 -124.82149974]",1192.411825617091,3002.9715410343015,2844.7369826095705,2011.8343549922017,749.7638209900636
"[ -3.19231282 129.3959355  196.01315578 ...  18.32258382  58.99573484
  58.77912866]",2385.3951080053985,810.0418795553841,300.0414811118883,1867.3285610162404,2418.769931442219
"[ -2.42454444 171.13757729 198.52226692 ... 150.03232543  86.35533269
  69.76144245]",4153.089459385253,1745.4830707618082,1364.5094868090275,1592.5455629315354,1590.2409882525944
"[ -6.72098842 261.60985681  89.78400982 ...  12.25995619  91.39210386
 -30.4417142 ]",4419.697262395607,4685.551261024691,3031.606692609184,4972.9752593265375,138.63803051922375
"[  3.54041504 231.37917472 172.4463925  ... 109.16683941  43.8408503
 -61.93491675]",3901.7642996580357,2601.5982404629467,3920.1786130947457,4557.809990772197,2670.6994410496104
"[   8.66184942  275.51527801  225.63760747 ...  242.93672785    9.87444663
 -111.86516448]",4161.074404013003,2665.7934887240244,897.4179969804048,4900.988698554039,1728.2754072804862
"[  0.97162266 148.03720313 186.87992708 ... -68.70659756 -43.32568668
  -2.26821643]",3321.63558337128,1926.5953002045594,2735.0929577628694,530.6661777968732,3059.4292430206247
"[  -8.87012992  284.03105092  209.86169675 ...   27.19239415 -110.0428163
 -164.24881629]",4563.830495077671,3212.0258851972626,838.1033622709894,4474.9767165382755,2826.1329556521914
"[ -3.74599217 208.09702292 223.78773287 ...  80.43004016 125.35725997
  86.20572192]",2542.7281597835986,4641.700245470869,865.3675309752375,3261.0453898163623,2522.2670374093054
"[1.14984352e-01 2.23762823e+02 1.58872784e+02 ... 2.80638364e+01
 1.60389857e+02 3.75642165e+01]",4519.65567776418,1644.9412534807593,2351.1141255505454,4918.858701625514,1934.4182530353503
"[  2.96635488 174.56201744 183.06231557 ... -25.28517562 -98.85557397
 -50.20485953]",2266.67212568319,4646.308389882406,2106.962204592814,1082.1610018292815,2261.813286119806
"[ -1.82494775 212.50824726 162.42647284 ...  72.56845196  85.93524137
 -18.54090518]",4267.010689478634,4995.721139844614,1712.6097818328335,3610.5430921736433,1748.7357805698916
"[ -2.40898924 106.75827781 151.5610209  ...  59.99067635  54.06831062
  63.57546512]",775.4914690403507,3146.264058666456,1906.6549227245218,1649.0916306866397,83.3836385059887
"[  8.4235548  245.04815459 230.36185072 ...  23.54966851  40.86631989
 -25.20262192]",2866.7540694125896,1226.4753210873332,3142.9907646288234,4324.5902512104485,2367.19730624201
"[  5.14133099 254.75352912 152.84229688 ... -72.41657243 -79.24511635
  50.94900923]",4880.656998667823,4494.260381525837,2011.6056803575805,3816.5087151257762,3452.0899315614297
"[   0.96295534  311.77749707  246.00648106 ...  138.77433938   29.71973641
 -133.5796918 ]",4440.519286307689,3732.8554212860367,3023.5952127500714,2918.005661612186,4631.950318190427
"[  2.80604099 162.62048768 134.43779609 ...   0.25050121 -70.76593087
  15.98882424]",4257.180142021932,1662.2410076244712,668.8900555988164,3729.869964213384,417.2892497646282
"[  6.54868579 118.80554203 181.76768217 ... -33.52383648 -47.74674319
  -6.39813577]",2323.988181355359,1341.1567098963744,2903.8484460401432,1829.1366357350712,415.430440927331
"[  4.85072204 136.57535975 199.7370714  ...  75.97220424  45.17429272
 -74.83730022]",359.58197389762415,1594.2927893418414,830.9110075353194,3269.691024699754,2564.6741400967485
"[-4.94473694e-02  2.57863275e+02  1.52403500e+02 ...  1.16768598e+02
  2.88424768e+01 -1.24691266e+02]",3465.7040619315967,1681.8149915369083,2172.742158713668,4336.368045533662,4901.94745715391
"[ -5.53666807 218.65205477 243.03826902 ... 196.32521737 120.30022321
  -6.71621413]",1783.3355005645444,1581.2835060679467,2487.7825483409706,4196.88104817035,620.516183700188
"[  12.09930805  222.02060279  227.06807214 ... -230.85848668 -114.82782659
  129.03788579]",285.9028924965877,4584.323385985217,2615.236909915851,1834.2476653920014,1849.1800538984808
"[  -2.75076872  175.83672095  148.04120863 ... -154.31049598  -47.82765393
  -46.00864965]",31.831975019282034,3331.2726459385804,3488.793668148343,137.8686085260445,3863.6027032544152
"[  1.18248758 169.89757835 215.54791965 ...  -4.21705576 -74.50351191
 -53.89739802]",608.1763054704999,1319.6422966807465,4114.307336341014,2128.9077071520587,2569.7706206553994
"[  -3.95261148  284.65739109  232.96299036 ...   96.88907971  -22.64899198
 -162.15407624]",4536.863446223247,4938.4980309728735,2011.8368277895518,2365.5972667283763,3155.984437523674
"[   4.59690907  206.71377751  170.89017734 ...  -49.20229183 -126.89312662
  -79.47510544]",3422.3620306829666,408.0456372806447,4770.130971674034,3077.7204991156536,1418.8628958112945
"[  -1.67704933  181.83352688  186.9667081  ... -149.13558212 -238.06517332
 -200.6521899 ]",4250.003854350306,1257.9338653920381,548.6801616909099,3416.996838114702,4002.271507714081
"[  6.13687534 161.21836143 185.18685247 ...  59.31610709 -17.39326681
 -24.69163541]",3725.037050486051,1412.326206408768,975.5487407450338,1138.1325530686722,2703.811781871691
"[  3.62388943 185.65242369 120.88170019 ... -41.90348851 -70.93005303
 -85.05003956]",4950.765357466268,2361.9561907799757,1894.1895174692397,391.6390599473648,4733.1179033992
"[  4.14109096 174.282079   248.61766941 ... -93.03612173 -63.10226562
  44.9081778 ]",1607.198581962359,784.5120782655728,2320.2306279816944,3489.068723164063,2618.085210794115
"[  6.67869043 269.65375846 197.39367959 ... 102.3119156   22.23788137
  28.7219167 ]",4601.188124799084,2199.7967074177736,3922.703103021446,746.2950281081094,4050.2675420482487
"[  4.0215731  149.97927154 179.50366981 ... -26.78556784  14.75039367
  11.63113632]",1964.0701406847922,4021.904513216544,3136.6456006195376,3931.566423493553,636.0873443457706
"[  3.48679099 121.22717646  96.788465   ... -51.87324102 -34.28202451
 -46.40473681]",4474.659082489537,2171.1587754279385,4681.12289902915,709.8615996155911,3349.6343935688515
"[  10.80660982  175.69099313  152.86194537 ...  -73.0878486   -59.02761893
 -117.22137844]",2215.9913130659693,4844.660521651722,239.85688897297996,3288.850564230111,135.03954222685695
"[ -2.96886373 231.02302406 229.39294293 ...  85.91901542  42.44808124
 -36.18915848]",4285.689194810535,3291.974800837708,280.04121761313957,2186.3675894299986,3608.9278628487996
"[  -2.8885912   178.68446595  262.83292889 ...  -29.88082381  -71.53603372
 -122.85249611]",1736.7735417004342,889.5990979697874,1856.7069120803558,2033.1164566582063,3750.7030752010082
"[  -9.98623325  270.96606242  180.61013335 ...   24.56239134  -64.28802063
 -136.47814887]",4756.827082076762,3021.9560985268913,2627.739026140255,4697.29868263575,3904.2343713181244
"[ -4.95446352 192.60775821 216.54991427 ... -67.60526274 -10.3766127
  59.27880859]",3215.2188484441235,1067.4506541653789,2437.8705741478307,3518.264590272999,3610.5520024280468
"[ -5.57781778 118.03608987 173.28042615 ... 149.98610618  41.92007028
 -85.11596211]",4189.8927655182615,3020.7710564560352,790.6055635057531,1358.5943976096014,2010.5568573561566
"[   4.30224539  252.57180404  277.8337001  ...  108.24092169  -75.36569176
 -185.27808992]",2164.830303408644,4285.974956686958,1328.1144933502103,3657.8936388954207,1374.355401787693
"[  6.49874946  84.60204108 127.4559595  ... -16.58919287  19.16856019
  21.61305441]",554.0124456966977,1022.2480779488812,3966.671123877874,1680.8529206048597,375.9450788073167
"[  2.11789479 123.58163867 168.00014073 ... -45.05661677  23.473185
  81.80207289]",236.9089792279015,1113.3373659558276,3595.3593784260665,1562.7485531321342,2979.3445421967735
"[  -1.72777868  314.49782548  204.36403739 ...  100.66615137  -56.09673456
 -105.84490026]",4237.0120185672195,3828.960159672096,1239.555751606606,3442.855901688821,4038.4582199737374
"[  3.2863679  180.88272219 169.4963658  ... -85.05870008 -14.89325759
  36.21471971]",4613.478332505061,771.454569263557,1455.789725257012,2993.815047737117,1335.132600541764
"[ -1.53545671 162.58753734 203.62442792 ...  -7.07217971 -34.23265119
 -78.17308063]",2015.254106185443,4448.916993818723,3120.712777053109,3367.9310433909886,1333.9442195756758
"[  5.67522958 107.72774565 144.12359216 ...  35.5336959   87.23310213
  72.10234727]",341.91655959406313,4553.774431063095,1787.184233548056,1173.4442601423043,894.4487856931582
"[   2.25675859  253.27660742  239.0708496  ... -183.39321288  -54.03146289
   61.59036018]",1367.5428491158245,3451.1490669800846,4686.5669974521425,1834.112349132513,382.5913487659385
"[ -5.49283271 171.28783078 183.99058927 ...  44.43957894  47.50290642
  -3.84998561]",3263.9430898040036,364.7982607322526,2779.5426041690057,1021.3104615768527,3677.546812973183
"[  0.77100086 214.31734932 259.93436696 ...  21.12706036 -19.23460307
   9.95158075]",2337.0722420335205,3561.10257314851,2792.434142974259,2905.8566212613373,2.282193658309164
"[  2.57418443 169.09577159 249.84117628 ... -19.82651335 -28.63160601
 -49.07221864]",2590.6451410806153,2488.2111617064343,2551.17269337995,1697.9384808461527,2456.5708346965052
"[  0.58596151 116.8720212  163.96690298 ... -46.55064554 -63.23079637
 -48.83152535]",1705.8393230213298,3477.455491325575,476.97606388892694,2661.933806706495,305.51156108944775
"[   3.59670041  192.63451976  186.70565162 ... -245.73330876 -200.4926469
    3.60926174]",2778.265278768877,4072.2152231641685,881.9950831885798,2929.1705068799556,70.59249345334067
"[ -0.66815273 166.86245018 179.31976999 ...  28.19276736 -47.00033421
 -93.38016494]",4813.899432884726,3465.238044039165,2781.920699369517,1329.5012220337464,1668.7143399803365
"[  -3.76263207  178.26214136  130.32620054 ...  -21.26923746 -123.70116683
 -141.3031767 ]",404.7356603388228,4770.151511371497,2959.4641115940776,4985.038810707478,2288.9600455507557
"[  3.08395417 169.65925913 235.93026796 ...  66.38451151  34.63409704
 -71.87054572]",2042.5969752135152,1639.7366847893486,3053.7108125329846,366.97638220698246,4131.520574302139
"[   6.15663272  242.554132    202.52914481 ...  102.15632382  -50.98849771
 -176.08114776]",4480.987307645334,256.78693980435685,1732.285395880345,3448.8452841378253,1866.4076063082493
"[   6.15032549  214.86806558  225.03605047 ... -183.80113407 -167.28788677
  -47.23987713]",1612.7931093600416,3624.0802904918883,111.91246526026084,3449.3078984358685,3036.4799203030675
"[  3.87630778 198.20345316 218.53118755 ...  14.87527693 122.06666197
 165.24147032]",2830.3999446199045,4294.621768041907,3376.1549137385623,1485.4403157932086,2687.3648329481966
"[  2.51989349 147.30705793 245.03830108 ... 128.60499818  41.86659928
 -12.97294317]",1495.437451675931,2296.784322595548,633.4683470591079,499.39586149377766,2280.9316200672088
"[  4.0561292  169.73701953 239.67075371 ...  59.45743195 103.04399179
  40.57530833]",2693.4413625255365,521.2371948436775,1236.9284127664132,2853.6966450581044,2856.580925937205
"[  -5.51015068   98.69636065  128.51140589 ... -135.18691805 -125.96892906
 -126.78025511]",3471.109031724465,1038.0595404112655,1543.7942317392792,4373.738672559755,350.88997018145216
"[   0.81827117  183.54475812  165.85545035 ...  -65.45646753 -113.3934063
   45.59496733]",4341.207067215644,1190.0002795707057,1065.4298392802748,3672.173007509787,1872.2356755954218
"[-2.66968796e-02  1.70364460e+02  1.96327793e+02 ... -3.94501951e+01
 -1.53585605e+01 -2.27560549e+01]",1421.6283500403335,343.60777406416526,1879.8444970681228,4266.465691457561,992.5865032840258
"[ -2.28774205 112.16237943 176.3182742  ...  50.98844834 -20.98443592
 -35.60260988]",331.35906549873226,2163.0110702105294,2017.692083082407,2597.7466590553145,2116.9638294698757
"[   4.48348105  122.26813232  119.82561555 ...  -47.83914077 -149.52951876
 -169.26257067]",851.8825871469445,1326.5538366307085,3192.0920990871964,20.644663524787244,4954.101429624544
"[  -6.17551211  236.569319    212.49918581 ...   84.88720411   26.93543212
 -138.99285213]",4333.797502777131,4764.390587234412,1865.720351259249,2687.6180790312155,77.84919907465036
"[  1.9937203  149.79902282 140.09088078 ... 148.3035335  178.12270739
 245.65823329]",1095.4061881775117,2617.6478435181484,1132.203950198834,586.2932986681235,4912.425465419998
"[  -6.13523803  265.35613263  232.56654451 ...  -87.63667175 -211.91453498
  -62.05056828]",3601.327273260736,3582.0653329111215,4442.246772985658,1445.6344852209647,3143.055315111572
"[  -2.32300022  241.26614953  218.06006084 ... -240.13796272 -110.83728434
  118.39469871]",810.0060503758889,3616.444041588479,4419.275032707805,1694.135851962335,3744.264753108207
"[  1.65288554 114.97777274 150.48959699 ...  54.02182835  12.96675978
 -63.84885772]",943.4895347071292,160.27602677109334,808.8599694485969,3663.9145253180104,3779.6594575919626
"[  4.73680135 137.23915298 193.43113057 ...  73.98112303  25.56604302
  -1.85896337]",2523.681547420917,125.15791729586624,1235.3051126400937,2671.042292286592,2298.0815778711312
"[  -2.65716501  225.00857952  262.97142005 ... -105.25825688  -18.81848737
    1.23072831]",1240.7598164263552,3228.1465584863754,3604.614114372172,830.1123794232053,3581.520395970022
"[   3.14005996  193.97342716  271.04995505 ...  -18.9656096  -151.06219436
 -238.5173538 ]",3306.941898086936,3646.748845742288,1452.84052806125,2179.5790472957683,2056.902096380794
"[   4.98891606  155.07524543  197.47297753 ...   -4.4976713  -113.30949169
 -143.91725251]",2413.798592569577,2108.6220518442833,4822.315296067266,1680.8657272355545,2622.9174435705677
"[ 10.16573216 226.26258834 207.91163738 ... -16.58653058 192.03870442
 185.94588517]",3169.32433431356,3823.6085904146125,3606.549599135628,3787.579024264746,1752.2807088987183
"[ -2.65384474 265.53564628 294.86797121 ... 222.16722922 206.06431153
  10.56346393]",1566.440954812597,1625.5994395919993,3619.6486925644303,2910.848333125022,4524.656886805469
"[ -4.54479883 165.33544891 251.70595719 ... 134.46173359  72.1725685
   6.2086325 ]",789.6595866741742,1378.299943046196,1610.7301176844046,2915.943529645417,2157.553518225201
"[  2.24549934 150.68442621 110.25533079 ... -32.24073931 -58.65364836
 -90.28412941]",83.17728055739094,1333.8650621553181,4430.784902142292,3838.012894301569,4706.400161899067
"[   1.31879128  220.69478432  165.25596237 ...  190.5421671    79.72796408
 -178.29036065]",3286.8675857924295,4522.863888965308,3028.680261816468,3905.820408741518,189.58205434908845
"[  1.65776965 131.86716539 129.78415857 ...  31.82989279 -21.63449342
 -79.91606525]",1205.3431697278943,1962.1179919297738,1038.736942738406,4543.954968972672,424.6737183745339
"[  6.53645846 139.28313929 229.44887867 ... -18.43868181  24.28800596
  52.15216689]",1273.094734316828,1582.5135693289171,1733.9926927719523,2405.418969981812,2756.5043606033714
"[ -4.33069829 143.44594997 154.19039638 ... 169.76995508  21.72652665
 -93.72550788]",3018.757279550607,149.45309493774428,186.71362518174635,102.35278426713835,3787.954251466656
"[ 10.14556123 367.53920365  72.28356805 ... -71.31723335 -24.25994314
  21.94507544]",4472.105705907392,4967.384299952166,4727.651483104481,2985.9220275745392,4912.720611653404
"[ -2.82656841 151.0477062  154.63982744 ... -80.38557249 -76.87033666
  33.86701542]",4828.294835183356,2588.065313828699,3021.431043521758,366.0449443028896,1609.7286101821487
"[  0.57991104 201.63282686 145.67398594 ... 255.59585795  78.58422804
 -62.65128375]",1321.508888662039,4679.082576016083,430.3512009762731,4398.924136798203,2878.6719239838353
"[   7.97402509  165.89540177  164.01707657 ... -142.39563103 -115.48548494
   33.3599814 ]",998.2149002052403,665.8907512988899,2213.8264501812537,3269.3127692851945,4032.2331645218637
"[-10.44344153 156.27604786 225.57701822 ... 104.33922983 143.76911037
 151.30107837]",780.1580014028946,3154.359559698451,1145.4195759009663,1635.6173116842865,273.6236745567748
"[  8.76210842 213.52342415 251.98144425 ... -46.7939142   38.12193276
  28.77404805]",1450.8647775423447,1917.313180055705,4632.548337783805,3354.5753981606604,1352.7373358247778
"[  8.71618832 248.20643662 202.98682314 ...  77.99063655 124.41751759
  33.90262767]",3102.707784451993,3530.892394878425,2276.3737573247236,4675.566438453686,1838.6734349799735
"[  0.26551347  81.08403829 130.90618582 ... 122.67884125  86.81606223
  23.84975533]",2087.9951289363225,1154.4855061428898,42.37945116943734,2198.648637159336,2286.630110336278
"[ -2.01157535 223.23703386 223.40302435 ... -53.06318111 -46.37191971
 -25.38515591]",3678.9552467572516,4761.792141463499,1827.1553881681427,1693.140531359801,4193.448071549034
"[   3.12507719  132.64673223  192.86949079 ...   38.89939754  -30.14904903
 -100.83325776]",2813.7786643532177,1680.744392780576,2178.545860947237,4336.928795289572,1171.0336499063706
"[ -6.68733712 130.60894793 213.8503869  ...  76.41484157  63.94145627
   4.92567175]",1671.474586232891,450.7742047222351,1644.543424625792,1757.2714117478886,1460.5241187492138
"[  11.439523    247.57957288  274.95649848 ...   78.56255943  -30.03499304
 -136.70022277]",3305.1262506783596,3566.7828011693205,2826.5539427611434,1890.8859027288086,2977.9683239633964
"[ -1.52182035 127.71411061  89.89765264 ... -22.69343096 -49.87132906
 -45.39777017]",4517.9277519954285,37.37286124981162,4258.339829347264,1292.8693219326183,1687.0210394477947
"[  1.3395621  163.49486731 239.77428567 ... 136.0179237  118.30313152
  97.16990586]",2674.343271206129,2013.477074782531,1167.040778868205,3224.9677482499305,566.4367964828239
"[ -2.88260099 119.12887904 198.43139683 ... -97.06926988 -84.32228642
 -51.46319238]",1910.6977810753917,2811.904798684132,1089.8916216405362,1852.2137385618482,3389.462079804211
"[  1.55456446 232.24669984 272.18422506 ... -97.66883101 -41.64183398
 -17.51397366]",2970.3373410496283,3771.570628473914,2402.0455708717222,1958.8622664161505,433.4897669872864
"[  6.11483308 206.72580939 198.55543073 ... -81.47568481 -18.44119466
  89.53108256]",2958.6186775842684,513.5941199905463,3221.4794000638362,4155.2455568324895,2472.2037165045012
"[ -6.46608354 238.09496971 236.46493081 ...  51.96317791  44.75266233
 -26.47755863]",4055.92061815911,1500.886234750152,3445.620547821949,2202.2897527018035,1400.0006713619634
"[-10.0495244  171.88400559 213.00980709 ... -48.69849055 -79.34391135
  19.74334623]",1227.3613701104591,2689.0459545812205,3119.205723847259,3765.070044670291,215.38092380253795
"[  6.35058844 224.45501441 314.98773244 ...  59.51119737  62.14566816
  32.42396234]",3272.2266082703472,2414.5151232644694,2256.448811912,3776.9327736216646,1868.9411763124406
"[   5.90235932  144.8902644   101.31607654 ... -151.55345215 -136.98971498
   16.96093148]",4539.273721736335,554.3164242926491,102.91924354551415,3201.2622527500707,164.67388362180287
"[ -11.36894331   69.08341587  109.88892388 ... -108.74978262 -107.77275292
  -99.02341983]",1252.978201877498,2043.773625633714,2518.3913894456673,64.07893407145116,14.759509652979023
"[  8.04941739 180.37368868 229.0365738  ... -35.36173047 -18.86013433
 -38.0385982 ]",2349.9391017481066,3364.478143590037,555.9122531660782,2594.681415813938,1174.6009194233
"[  3.9602501  183.44385601 113.43973552 ... -57.25398979   7.81881792
  67.40718392]",1978.6337744058042,4414.42722583127,3936.730313596278,4471.343235401007,1742.7009701565328
"[-4.68804238e-02  2.53506548e+02  2.89690144e+02 ...  1.17590968e+02
  1.68437485e+02  1.71767797e+02]",2986.3474457979873,2763.540726312213,2400.4496599282793,4767.232978841792,2291.59224694964
"[  6.88959426 120.94404406 194.57502553 ... 168.2692335  139.41684744
  95.37267087]",2613.6671363230057,594.1118307475866,848.2704887788688,2422.5211835209725,2804.906793018866
"[  14.67946042  215.16872617  196.31948538 ...  122.92179876  -62.58596256
 -191.22458503]",975.753859827105,2371.578447215736,1381.7664272399768,4979.059068252161,3080.758768037983
"[  2.47946367 190.19074549 185.26089509 ...  32.11792708 144.79739498
  65.87026129]",1751.6119293653146,1316.3362820275893,4793.7018431035285,1115.811761968491,2175.365987544391
"[-1.64634988e-01  1.74694131e+02  2.54086630e+02 ...  3.52875793e+01
 -2.70499523e+00 -7.00888314e+01]",1304.692202547593,1840.505487151917,1516.9528557255999,1741.9394219268138,3846.6899100866135
"[  -3.11491428  166.61995857  185.58718823 ... -148.12217911   16.20901234
  132.82057779]",303.9101299314039,3171.4652889000104,2773.311734021786,2080.158844474492,4464.454637137454
"[ -3.60503914 165.51525939 242.96940984 ...  79.63289039 133.9576749
 119.69858778]",3090.59417765935,2480.1445560976385,2799.5910872114487,621.9034050481571,992.2970077838569
"[ -2.46728667  88.9925188   78.68507214 ... -22.79933094 -33.37208553
 -16.50349381]",73.70794980262174,346.11976518765675,894.741133860692,4173.962691914281,4546.4631383119595
"[  7.37909918 184.46766874 206.89046016 ... -50.48668315  38.59938089
 128.83817648]",4018.5475893976904,3472.2930601651433,131.26074143106257,2526.0744784044064,2071.5481149971497
"[  1.8009321  245.31728336 195.51877431 ... -68.03655897 -51.34464202
 -10.81097453]",3392.6920502148614,4991.307135287338,1744.7812237784838,3190.306366201659,4680.731453731916
"[  11.11443175  157.21562446  153.24233243 ... -112.28260873  -98.45588406
   -6.04272509]",4700.1441831481725,559.0221948556409,2740.370083939309,252.60824073364665,3843.197711797015
"[  8.83873039  99.12927842 140.43285214 ... -34.38360666 -36.15513576
 -26.75391024]",3487.028832800223,1311.428548082698,779.2152948456629,285.7249051273978,1918.243360679585
"[ -4.12872959 211.31862375 259.73553831 ... -16.61098976  43.0020431
  50.38267912]",4055.8346934121405,455.5512737706363,1977.2648029766842,1708.105381804952,2425.3592309291353
"[   1.00250421  214.61064981  280.26207568 ... -147.01251555   -9.77733923
   80.08125171]",1970.770702012736,2414.5099369281525,3154.3646592599425,2863.244843589679,459.9104318663359
"[ -12.61512787  171.78493539  171.33075523 ...   52.31419739  -65.5205515
 -207.80175456]",4510.851708248842,2247.6944644526884,251.8544035252231,2511.8981595239193,357.5501377765729
"[8.30569016e-02 6.38565374e+01 9.62143980e+01 ... 1.67232773e+02
 1.47753164e+02 1.55540456e+02]",9.377149358399897,642.4148106091862,101.46386785128409,782.3365348307813,3418.1057791578014
"[  -0.66669556  197.84696135  235.95149635 ...  130.45224469    8.28667156
 -176.29841374]",3571.675090393988,3057.8843129462675,2024.8331782607527,1885.6403150589138,3872.7840291988755
"[  -0.35017729  247.2823693   267.79618639 ...  -27.41251835  -37.34723273
 -119.16501439]",4694.731682435525,1484.724039977368,1855.8547490991125,2745.109898031988,809.5057644100128
"[   2.84370073  116.0938393   163.32330682 ... -100.21667308 -101.29942231
  -16.38846514]",530.1965327931772,819.053548917894,3140.996113021867,401.8461524309093,3401.329455182363
"[   6.93974675  165.11276887  161.8297334  ...  -96.49021548 -114.68827301
  -40.75445638]",3928.1402648700896,1972.9980222841227,316.1627480319496,4871.4320589672925,900.6213663048464
